iteration,temperature,current_score,best_score,best_hard_violations,best_shortage_Copt,best_over_Copt,elapsed_seconds
1200,750.0,1929770.7007814955,1929770.7007814955,19.0,28,0,45.095
2400,712.5,1822679.9818646726,1822679.9818646726,18.0,18,0,92.003
3600,676.875,1717498.1087663483,1717438.3444958988,17.0,11,0,140.562
4800,643.03125,1616668.310264078,1616668.310264078,16.0,8,0,190.307
6000,610.8796874999999,1615971.373880453,1615869.6940994293,16.0,7,0,239.952
7200,580.3357031249999,1615148.421047695,1615107.2992667365,16.0,6,0,289.691
7455,551.3189179687499,1515378.0074089097,1515322.0903787387,15.0,6,0,300.007
